,string,start_ms,end_ms,latency_ms
0,Go,956.0565,1324.2422,368.1856999999999
1,bid,1324.3338,1427.4237,103.08989999999994
2,thy,1427.4743,1509.8873,82.41300000000001
3,"mistress,",1509.9795,1631.253,121.27350000000001
4,when,1631.3206,1733.8857,102.56510000000003
5,my,1733.9494,1837.4925,103.5431000000001
6,drink,1837.5446,1942.0853,104.54070000000002
7,is,1942.137,2041.1242,98.98720000000003
8,"ready,",2041.1735,2142.8945,101.72099999999978
9,She,2142.9562,2225.2868,82.33059999999978
10,strike,2225.3391,2348.6488,123.3096999999998
11,upon,2348.6981,2450.5226,101.82449999999972
12,the,2450.607,2552.945,102.33800000000019
13,bell.,2552.995,2655.3035,102.3085000000001
14,Get,2655.3693,2757.5666,102.19730000000027
15,thee,2757.6336,2861.0409,103.40729999999985
16,to,2861.1075,2962.5671,101.45960000000014
17,bed.,2962.6172,3045.306,82.6887999999999
18,Servant,3045.3682,3169.3227,123.95450000000028
19,exits.,3169.3723,3269.5422,100.16989999999987
20,Is,3269.6046,3372.1348,102.5301999999997
21,this,3372.1878,3475.4743,103.2864999999997
22,a,3475.537,3577.7823,102.24530000000004
23,dagger,3577.8487,3660.8965,83.04779999999982
24,which,3660.9461,3781.7158,120.76969999999983
25,I,3781.7643,3884.3865,102.62220000000025
26,see,3884.4366,3986.7413,102.30470000000014
27,before,3986.7904,4088.8622,102.07180000000017
28,"me,",4088.9161,4191.2302,102.31410000000005
29,The,4191.2793,4277.0373,85.75799999999981
30,handle,4277.0863,4396.382,119.29569999999967
31,toward,4396.4372,4498.4702,102.03299999999945
32,my,4498.5173,4601.4497,102.93239999999969
33,hand?,4601.5272,4703.658,102.13079999999991
34,"Come,",4703.7081,4805.6508,101.94270000000051
35,let,4805.6997,4908.323,102.6233000000002
36,me,4908.3768,5013.2338,104.85699999999997
37,clutch,5013.3027,5124.2776,110.97490000000016
38,thee.,5124.3473,5216.0503,91.70299999999952
39,I,5216.0997,5322.9209,106.82120000000032
40,have,5322.9883,5407.224,84.23570000000018
41,thee,5407.2731,5489.9688,82.6956999999993
42,"not,",5490.0218,5572.3865,82.36469999999917
43,and,5572.4391,5654.8777,82.4386000000004
44,yet,5654.9283,5738.5123,83.58400000000074
45,I,5738.5603,5821.022,82.46169999999984
46,see,5821.0977,5903.5848,82.48709999999937
47,thee,5903.6397,5985.9456,82.30590000000029
48,still.,5986.0165,6068.0253,82.00880000000052
49,Art,6068.0786,6150.6628,82.58420000000024
50,thou,6150.7453,6260.3694,109.6241
51,"not,",6260.4264,6345.3561,84.92969999999968
52,fatal,6345.4046,6428.9972,83.59259999999995
53,"vision,",6429.0462,6511.373,82.32679999999982
54,sensible,6511.4281,6593.1448,81.71669999999995
55,To,6593.1993,6676.1004,82.90110000000004
56,feeling,6676.1676,6758.6272,82.45960000000014
57,as,6758.6918,6840.9171,82.22530000000006
58,to,6840.974,6922.9304,81.95640000000003
59,sight?,6922.9858,7005.3239,82.33809999999994
60,Or,7005.3777,7095.6232,90.24549999999999
61,art,7095.6718,7178.0307,82.35890000000018
62,thou,7178.0814,7262.4396,84.35819999999967
63,but,7262.4867,7344.9666,82.47989999999936
64,A,7345.034,7427.477,82.44300000000021
65,dagger,7427.5615,7511.125,83.5635000000002
66,of,7511.2169,7596.5701,85.35319999999956
67,the,7596.666,7678.8012,82.13519999999971
68,"mind,",7678.8536,7760.8968,82.04320000000007
69,a,7761.0361,7842.9237,81.88760000000002
70,false,7842.9958,7924.7853,81.78949999999986
71,creation,7924.8391,8006.6323,81.79320000000007
72,Proceeding,8006.6856,8093.7234,87.03780000000006
73,from,8093.8275,8176.8279,83.0003999999999
74,the,8176.9336,8261.0216,84.08799999999974
75,heat-oppressèd,8261.6555,8343.6223,81.96680000000015
76,brain?,8343.6976,8425.517,81.81940000000031
77,I,8425.5781,8507.4167,81.83859999999913
78,see,8507.4648,8589.776,82.3112000000001
79,thee,8589.8287,8671.4786,81.64990000000034
80,"yet,",8671.5278,8753.1622,81.63440000000082
81,in,8753.2156,8835.1011,81.88550000000032
82,form,8835.1547,8916.5286,81.3739000000005
83,as,8916.5759,8999.2648,82.68890000000101
84,palpable,8999.3151,9081.2727,81.95759999999973
85,As,9081.3328,9163.1416,81.8088000000007
86,this,9163.1898,9247.2737,84.08389999999963
87,which,9247.3494,9331.0746,83.72520000000077
88,now,9331.1263,9413.0339,81.90760000000046
89,I,9413.1475,9495.2353,82.08780000000115
90,draw.He,9495.3395,9577.2619,81.92239999999947
91,draws,9577.3784,9659.636,82.25760000000082
92,his,9659.7462,9741.7186,81.97240000000056
93,dagger.,9741.8713,9823.886,82.01469999999972
94,Thou,9824.0102,9906.0657,82.05549999999857
95,marshal’st,9906.2609,9988.6006,82.33970000000045
96,me,9988.7079,10070.6582,81.95030000000042
97,the,10070.7663,10154.7276,83.96130000000085
98,way,10154.8567,10239.7005,84.84380000000056
99,that,10239.8377,10321.8287,81.99099999999999
100,I,10321.9674,10403.8276,81.86020000000099
101,was,10403.9793,10485.9218,81.9424999999992
102,"going,",10486.0513,10568.0109,81.95960000000014
103,And,10568.1577,10652.8577,84.70000000000073
104,such,10652.9949,10734.8822,81.88730000000032
105,an,10735.0276,10817.0316,82.00400000000081
106,instrument,10817.1941,10899.1281,81.93399999999929
107,I,10899.2691,10981.2589,81.9898000000012
108,was,10981.383,11063.2604,81.8773999999994
109,to,11063.3648,11144.7244,81.35959999999977
110,use.,11144.8488,11226.5599,81.71110000000044
111,Mine,11226.6837,11308.4553,81.77160000000003
112,eyes,11308.5915,11390.414,81.82250000000022
113,are,11390.5378,11564.0792,173.54140000000007
114,made,11564.2147,11666.6523,102.43759999999929
115,the,11666.7773,11770.6746,103.89730000000054
116,fools,11770.8128,11871.5319,100.71910000000025
117,o’,11871.666,11975.3821,103.71610000000146
118,th’,11975.4986,12076.5536,101.05499999999847
119,other,12076.6868,12159.7325,83.04570000000058
120,senses,12159.8647,12281.6312,121.76649999999972
121,Or,12281.8099,12383.5372,101.72730000000047
122,else,12383.695,12486.2131,102.51810000000114
123,worth,12486.3242,12588.1973,101.8731000000007
124,all,12588.3244,12690.3321,102.00770000000011
125,the,12690.4825,12793.1338,102.65129999999954
126,rest.,12793.2714,12895.1333,101.86189999999988
127,I,12895.276,12998.3097,103.03369999999995
128,see,12998.4236,13099.9881,101.56450000000041
129,thee,13100.1201,13199.2926,99.17250000000058
130,"still,",13199.4191,13305.5136,106.09450000000106
131,"And,",13305.6302,13407.7101,102.07990000000063
132,on,13407.7668,13490.5828,82.81600000000071
133,thy,13490.6438,13575.4228,84.77900000000045
134,blade,13575.4775,13657.2219,81.74439999999959
135,and,13657.2765,13738.7711,81.49459999999999
136,"dudgeon,",13738.8228,13820.6197,81.79689999999937
137,gouts,13820.6741,13902.6653,81.99120000000039
138,of,13902.7351,13985.331,82.59590000000026
139,"blood,",13985.3798,14067.8302,82.45039999999972
140,Which,14067.8849,14150.5716,82.6867000000002
141,was,14150.6248,14232.81,82.1851999999999
142,not,14232.8653,14315.2238,82.35850000000028
143,so,14315.2728,14403.5733,88.30049999999937
144,before.,14403.6404,14485.9994,82.35900000000038
145,There’s,14486.0481,14568.5074,82.45930000000044
146,no,14568.5727,14650.8979,82.32519999999931
147,such,14650.9469,14733.3434,82.39649999999892
148,thing.,14733.3947,14815.718,82.32330000000002
149,It,14815.7897,14898.4932,82.70350000000144
150,is,14898.5599,14980.7393,82.17939999999908
151,the,14980.7911,15063.2026,82.41150000000016
152,bloody,15063.2515,15145.3458,82.09429999999884
153,business,15145.3977,15227.7386,82.34090000000106
154,which,15227.7901,15310.2861,82.49599999999919
155,informs,15310.339,15392.3404,82.0013999999992
156,Thus,15392.3951,15557.8881,165.4930000000004
157,to,15557.9388,15660.9014,102.96260000000075
158,mine,15660.9609,15762.0131,101.05220000000008
159,eyes.,15762.0624,15866.6186,104.55619999999908
160,Now,15866.6675,15966.8309,100.16340000000127
161,o’er,15966.8832,16069.2921,102.40890000000036
162,the,16069.3396,16177.7209,108.38130000000092
163,one-half,16177.8284,16274.0427,96.21429999999964
164,world,16274.0932,16376.8907,102.79750000000058
165,Nature,16376.9427,16479.2027,102.26000000000204
166,seems,16479.2684,16582.0351,102.76670000000013
167,"dead,",16582.0848,16684.6909,102.60610000000088
168,and,16684.7455,16769.4167,84.67120000000068
169,wicked,16769.4667,16888.3848,118.91809999999896
170,dreams,16888.4492,16991.6233,103.17410000000018
171,abuse,16991.6753,17093.9392,102.26390000000174
172,The,17094.01,17191.0698,97.05980000000272
173,curtained,17191.1287,17298.8929,107.7641999999978
174,sleep.,17298.9579,17402.8698,103.91189999999915
175,Witchcraft,17402.937,17485.3897,82.452699999998
176,celebrates,17485.4389,17567.6286,82.189699999999
177,Pale,17567.6781,17652.2264,84.54829999999856
178,Hecate’s,17652.2769,17734.6781,82.40120000000024
179,"off’rings,",17734.7276,17817.1786,82.45100000000093
180,and,17817.2436,17900.3532,83.10959999999977
181,withered,17900.411,17982.795,82.3839999999982
182,"murder,",17982.8501,18065.4072,82.55710000000181
183,Alarumed,18065.4859,18149.723,84.2371000000021
184,by,18149.7725,18233.7656,83.99309999999969
185,his,18233.8254,18315.5748,81.74939999999697
186,"sentinel,",18315.6254,18398.0376,82.41219999999885
187,the,18398.1272,18481.062,82.93480000000272
188,"wolf,",18481.1608,18563.9311,82.77030000000013
189,Whose,18564.0406,18649.2882,85.24759999999878
190,howl’s,18649.3452,18732.2943,82.94910000000164
191,his,18732.45,18817.801,85.35099999999875
192,"watch,",18817.942,18901.2064,83.26440000000002
193,thus,18901.3521,18984.6664,83.31429999999818
194,with,18984.8088,19067.4185,82.60970000000088
195,his,19067.4703,19152.2799,84.8096000000005
196,stealthy,19152.4398,19237.7595,85.31970000000001
197,"pace,",19237.8075,19321.8542,84.0467000000026
198,With,19321.9169,19404.8459,82.92900000000009
199,Tarquin’s,19404.9012,19488.0943,83.19310000000041
200,ravishing,19488.2545,19655.2068,166.95230000000083
201,"strides,",19655.3719,19756.9492,101.57730000000083
202,towards,19757.119,19859.5983,102.4793000000027
203,his,19859.7832,19961.8801,102.09689999999682
204,design,19962.151,20063.8341,101.68309999999838
205,Moves,20063.9765,20166.5842,102.60770000000048
206,like,20166.8097,20268.0576,101.24789999999848
207,a,20268.134,20372.4513,104.31730000000243
208,ghost.,20372.5088,20473.3267,100.81790000000183
209,Thou,20473.379,20575.0927,101.71370000000024
210,sure,20575.1932,20678.1712,102.97799999999916
211,and,20678.3304,20781.2669,102.9364999999998
212,firm-set,20781.4444,20883.4114,101.96700000000055
213,"earth,",20883.5729,20985.7313,102.15840000000026
214,Hear,20985.9104,21087.7675,101.85710000000108
215,not,21087.9713,21190.5202,102.54889999999796
216,my,21190.7039,21292.3893,101.68539999999848
217,"steps,",21292.5661,21395.6613,103.09519999999975
218,which,21395.8447,21497.9875,102.1427999999978
219,way,21498.1696,21581.6024,83.43279999999868
220,they,21581.6712,21664.323,82.65179999999964
221,"walk,",21664.5185,21747.7383,83.21980000000258
222,for,21747.9435,21830.7334,82.78989999999976
223,fear,21830.8469,21914.0587,83.21180000000095
224,Thy,21914.2358,21997.7746,83.53880000000208
225,very,21997.9526,22081.2106,83.25799999999799
226,stones,22081.3173,22164.0905,82.77319999999963
227,prate,22164.2425,22272.8807,108.63820000000123
228,of,22273.0634,22356.4081,83.34470000000147
229,my,22356.5646,22439.8403,83.27569999999832
230,whereabouts,22440.0944,22523.1915,83.09709999999905
231,And,22523.2632,22606.2716,83.0083999999988
232,take,22606.4256,22689.8168,83.39120000000185
233,the,22690.0622,22773.4075,83.34530000000086
234,present,22773.6016,22856.7593,83.15769999999975
235,horror,22856.9375,22940.4919,83.5544000000009
236,from,22940.6709,23025.4566,84.78570000000036
237,the,23025.6363,23110.9171,85.28080000000045
238,"time,",23111.0919,23214.9475,103.85559999999896
239,Which,23215.1283,23298.6522,83.52390000000014
240,now,23298.8312,23381.8708,83.03960000000006
241,suits,23381.9739,23467.5749,85.60099999999875
242,with,23467.7327,23551.3728,83.64010000000053
243,it.,23551.5865,23648.4082,96.82170000000042
244,Whiles,23648.6542,23751.0198,102.36559999999736
245,I,23751.1979,23854.1576,102.95969999999943
246,"threat,",23854.3368,23957.077,102.74020000000019
247,he,23957.2576,24057.2624,100.0047999999988
248,lives.,24057.4405,24263.1914,205.7508999999991
249,Words,24263.3693,24364.8873,101.51800000000003
250,to,24365.0641,24468.134,103.0698999999986
251,the,24468.3106,24555.1944,86.88379999999961
252,heat,24555.2796,24672.6217,117.34209999999803
253,of,24672.6838,24775.406,102.72220000000016
254,deeds,24775.5849,24878.1553,102.57039999999688
255,too,24878.3376,24979.1716,100.83400000000256
256,cold,24979.3497,25081.1781,101.82840000000215
257,breath,25081.2629,25183.4999,102.23699999999735
258,gives.,25183.6211,25286.3949,102.77379999999903
259,A,25286.5092,25388.974,102.46479999999792
260,bell,25389.0806,25491.261,102.18039999999746
261,rings.,25491.4721,25576.0626,84.59050000000207
262,I,25576.2452,25659.4331,83.18789999999717
263,"go,",25659.5467,25743.0212,83.47450000000026
264,and,25743.2855,25826.7991,83.5135999999984
265,it,25826.986,25910.3988,83.41279999999824
266,is,25910.5976,25993.9855,83.3878999999979
267,done.,25994.1896,26078.0835,83.89389999999912
268,The,26078.2665,26167.286,89.01949999999852
269,bell,26167.3993,26253.8957,86.4964
270,invites,26254.0856,26337.4996,83.41400000000067
271,me.,26337.6823,26421.0279,83.34560000000056
272,Hear,26421.2529,26505.0058,83.7528999999995
273,it,26505.2533,26588.9006,83.64730000000054
274,"not,",26589.1029,26672.9357,83.83280000000013
275,"Duncan,",26673.1139,26756.4626,83.34869999999864
276,for,26756.6455,26839.8927,83.24720000000161
277,it,26840.0772,26924.217,84.13980000000083
278,is,26924.319,27008.0099,83.69090000000142
279,a,27008.1676,27091.6068,83.43920000000071
280,knell,27091.8077,27175.1163,83.3086000000003
281,That,27175.2942,27302.3957,127.10150000000067
282,summons,27302.576,27385.8651,83.28909999999814
283,thee,27386.3402,27469.5305,83.19030000000203
284,to,27469.7088,27640.8661,171.15729999999894
285,heaven,27640.9371,27744.1939,103.2567999999992
286,or,27744.4359,27846.9458,102.50990000000093
287,to,27847.1731,27950.2998,103.12670000000071
288,hell.,27950.5208,28053.6154,103.09460000000036
